ID,Expediente Nº,Año,Localidad,Elementos
8773,738,2011,TRELEW,"1 biblioteca, 1 escritorio, 20 sillas plásticas apilables"
8774,738,2011,TRELEW,1 PC
8775,738,2011,TRELEW,1 impresora
8776,963,2011,TRELEW,3 radiograbadores
8777,963,2011,TRELEW,1 fotocopiadora
8784,58,2011,TRELEW,1 minicomponente c/microfono
8788,1058,2011,RIO MAYO,"3 microfonos, 1 guitarra electrica, 1 pedalera p/guitarra, 1 bateria 5 cpos, 2 platillos c/soporte"
8789,832,2011,RAWSON,20 PC
8790,749,2011,RAWSON,"1 TV de 29"""
8791,749,2011,RAWSON,1 DVD
8793,814,2011,PASO DEL SAPO,1 radiograbador
8794,814,2011,PASO DEL SAPO,"2 camas de 1 plaza, 2 colchones, 2 almohadas, 1 mesa, 4 sillas 2 placares, 1 modular, 4 sabanas, 4 frazadas"
8795,966,2011,TRELEW,"1 notebook c/bolso, 1 licencia original Windows 7 Home Basic"
8796,966,2011,TRELEW,1 impresora
8797,1687,2011,TRELEW,1 impresora
8798,1687,2011,TRELEW,1 PC
8799,624,2011,GAIMAN,1 impresora
8800,624,2011,GAIMAN,1 PC
8804,1290,2011,DOLAVON,1 DVD
8805,1290,2011,DOLAVON,2 máquinas de coser
8806,1274,2011,DOLAVON,"1 maquina de coser, 1 taladro electrico, 1 destornillador electrico, 4 pelotas futbol, 4 pelotas de volley, 4 pelotas de basquet, 1 microfono inalambrico"
8807,1274,2011,DOLAVON,1 radiograbador
